year,month,day,time,temp
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,38
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,36
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,38
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,33
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,34
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:03,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,38
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,35
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,36
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
18-10-201,18-10-201,18-10-201,1:02,37
